,PM2.5,PM10,SO2,NO2,CO,O3,U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lon,date,IAQI_SO2,IAQI_NO2,IAQI_PM10,IAQI_CO,IAQI_O3,IAQI_PM25,IAQI
0,6.51,9.07,1.46,1.84,0.12,50.09,-6.65,-1.12,300.39,77.91,99392.34,"109.25,18.34",2013-10-1,1.46,2.3000000000000003,9.07,3.0,25.045,9.3,25.045
10,7.5,10.17,1.41,2.18,0.12,50.57,-5.39,-2.61,299.41,85.4,99125.99,"109.67,18.46",2013-10-1,1.41,2.725,10.17,3.0,25.285,10.714285714285715,25.285
20,7.8,10.81,1.03,2.13,0.13,51.56,-5.64,-3.49,299.88,82.06,99005.56,"109.81,18.59",2013-10-1,1.03,2.6624999999999996,10.81,3.25,25.78,11.142857142857142,25.78
30,8.38,10.65,1.11,2.12,0.13,52.94,-6.3,-2.75,296.88,88.96,94411.61,"109.68,18.72",2013-10-1,1.11,2.6500000000000004,10.65,3.25,26.47,11.971428571428573,26.47
40,9.17,11.14,1.08,2.01,0.13,51.63,-6.09,-2.53,297.28,84.17,94641.43,"109.27,18.87",2013-10-1,1.08,2.5124999999999997,11.14,3.25,25.815,13.1,25.815
50,11.74,14.24,2.35,2.6,0.16,59.04,-3.68,-2.67,301.07,73.59,100091.52,"108.85,19.02",2013-10-1,2.35,3.25,14.24,4.0,29.52,16.771428571428572,29.52
60,9.59,13.97,1.83,3.03,0.16,50.5,-4.63,-2.15,298.85,91.91,99082.31,"110.25,18.96",2013-10-1,1.83,3.7874999999999996,13.97,4.0,25.25,13.7,25.25
70,10.89,14.46,1.51,3.23,0.17,47.45,-4.61,-0.93,297.46,92.74,96816.09,"109.84,19.11",2013-10-1,1.51,4.0375,14.46,4.25,23.725,15.557142857142859,23.725
80,13.48,16.93,2.46,3.18,0.18,53.66,-4.86,-1.45,297.76,90.97,97244.76,"109.28,19.27",2013-10-1,2.46,3.975,16.93,4.5,26.83,19.25714285714286,26.83
90,16.84,22.73,4.46,3.98,0.2,65.49,-6.4,-4.24,299.91,84.08,100402.46,"108.87,19.42",2013-10-1,4.46,4.975,22.73,5.0,32.745,24.057142857142857,32.745
100,10.57,17.83,1.61,3.92,0.2,43.67,-5.46,-2.03,299.34,88.53,99429.25,"110.27,19.36",2013-10-1,1.61,4.9,17.83,5.0,21.835,15.100000000000001,21.835
110,12.59,19.95,3.09,6.29,0.24,40.57,-5.57,-2.21,299.34,87.95,99527.12,"110.0,19.51",2013-10-1,3.09,7.8625,19.95,6.0,20.285,17.985714285714288,20.285
120,14.16,22.73,3.93,6.67,0.26,38.42,-6.65,-2.55,299.43,87.34,99699.11,"109.87,19.64",2013-10-1,3.93,8.3375,22.73,6.5,19.21,20.228571428571428,22.73
130,16.57,26.32,5.18,5.84,0.26,42.74,-6.65,-2.82,299.6,86.18,99924.69,"109.59,19.79",2013-10-1,5.18,7.3,26.32,6.5,21.37,23.67142857142857,26.32
140,12.41,26.83,1.32,0.79,0.19,65.36,-10.47,-4.71,300.41,89.0,100767.34,"111.0,19.72",2013-10-1,1.32,0.9875,26.83,4.75,32.68,17.728571428571428,32.68
150,13.31,27.38,1.74,1.21,0.22,49.36,-9.58,-4.33,300.17,87.94,100640.49,"110.87,19.86",2013-10-1,1.74,1.5125,27.38,5.5,24.68,19.014285714285716,27.38
160,19.84,34.04,5.21,4.06,0.34,30.13,-9.51,-4.9,299.6,86.58,100028.84,"110.33,20.42",2013-10-1,5.21,5.074999999999999,34.04,8.5,15.065,28.34285714285714,34.04
170,23.21,38.1,7.19,5.33,0.37,35.15,-10.65,-4.92,299.78,85.31,100245.07,"110.2,20.69",2013-10-1,7.19,6.6625,38.1,9.25,17.575,33.15714285714286,38.1
180,26.17,37.52,12.07,10.31,0.53,34.52,-8.4,-4.86,300.64,72.83,100686.78,"110.08,21.1",2013-10-1,12.07,12.887500000000001,37.52,13.25,17.26,37.385714285714286,37.52
190,27.85,40.42,11.11,8.24,0.46,39.1,-9.22,-5.0,300.54,76.69,100974.93,"110.52,21.21",2013-10-1,11.11,10.3,40.42,11.5,19.55,39.78571428571429,40.42
200,30.57,43.23,12.65,9.83,0.52,41.89,-8.66,-4.68,300.63,74.57,100978.83,"110.67,21.34",2013-10-1,12.65,12.2875,43.23,13.0,20.945,43.67142857142857,43.67142857142857
210,39.04,43.95,12.97,7.73,0.78,64.57,-6.23,-6.71,299.75,73.66,100888.04,"109.24,21.54",2013-10-1,12.97,9.662500000000001,43.95,19.5,32.285,55.05,55.05
220,32.58,44.26,14.54,12.65,0.6,42.18,-7.56,-4.38,300.67,71.58,100915.38,"110.67,21.47",2013-10-1,14.54,15.8125,44.26,15.0,21.09,46.542857142857144,46.542857142857144
230,19.07,19.73,4.86,1.0,0.17,73.62,-6.41,-2.1,294.3,67.52,89758.97,"101.33,21.69",2013-10-1,4.86,1.25,19.73,4.25,36.81,27.242857142857144,36.81
240,43.16,51.09,14.6,8.73,0.57,70.08,-3.42,-9.34,296.94,80.72,99877.45,"108.09,21.71",2013-10-1,14.6,10.912500000000001,50.545,14.249999999999998,35.04,60.199999999999996,60.199999999999996
250,36.65,42.71,11.83,8.29,0.76,58.18,-6.55,-5.93,300.14,73.09,100839.97,"109.82,21.65",2013-10-1,11.83,10.362499999999999,42.71,19.0,29.09,52.0625,52.0625
260,41.18,53.83,16.67,10.3,0.55,54.28,-8.36,-5.27,299.92,74.87,100335.28,"111.26,21.58",2013-10-1,16.67,12.875,51.915,13.750000000000002,27.14,57.725,57.725
270,20.12,20.93,4.94,1.21,0.18,72.87,-2.81,-1.69,295.21,65.0,92651.47,"101.04,21.81",2013-10-1,4.94,1.5125,20.93,4.5,36.435,28.742857142857144,36.435
280,47.66,56.02,14.53,9.08,0.55,64.77,-2.26,-6.96,292.95,95.11,96339.88,"107.67,21.85",2013-10-1,14.53,11.35,53.010000000000005,13.750000000000002,32.385,65.82499999999999,65.82499999999999
290,41.35,46.96,12.12,7.64,0.82,64.84,-5.68,-6.41,299.47,73.57,100735.65,"109.25,21.8",2013-10-1,12.12,9.549999999999999,46.96,20.5,32.42,57.9375,57.9375
300,34.8,45.4,14.81,13.07,0.61,48.21,-6.7,-3.65,300.63,71.51,100880.76,"110.69,21.74",2013-10-1,14.81,16.3375,45.4,15.25,24.105,49.71428571428571,49.71428571428571
310,19.28,19.94,4.71,1.3,0.17,76.07,-7.0,-2.43,291.68,68.91,85734.22,"100.17,21.91",2013-10-1,4.71,1.625,19.94,4.25,38.035,27.542857142857144,38.035
320,21.34,22.08,4.93,1.06,0.17,71.41,-6.11,-1.23,291.37,79.03,87825.77,"101.61,21.97",2013-10-1,4.93,1.3250000000000002,22.08,4.25,35.705,30.485714285714288,35.705
330,46.87,56.3,12.94,10.91,0.64,61.32,-3.03,-8.93,294.46,89.19,97309.23,"108.1,21.97",2013-10-1,12.94,13.6375,53.15,16.0,30.66,64.83749999999999,64.83749999999999
340,41.72,47.4,12.48,7.23,0.75,66.07,-6.52,-6.24,299.09,75.26,100348.29,"109.55,21.93",2013-10-1,12.48,9.037500000000001,47.4,18.75,33.035,58.4,58.4
350,37.55,47.71,13.59,8.89,0.54,56.36,-8.34,-3.81,300.0,72.68,100028.83,"110.99,21.86",2013-10-1,13.59,11.1125,47.71,13.5,28.18,53.1875,53.1875
360,32.24,44.6,14.87,13.29,0.37,108.52,-9.19,-5.56,299.6,85.2,100684.38,"112.85,21.75",2013-10-1,14.87,16.612499999999997,44.6,9.25,57.099999999999994,46.057142857142864,57.099999999999994
370,20.01,20.74,4.94,1.1,0.17,73.2,-5.47,-2.52,293.99,69.26,90083.4,"101.31,22.09",2013-10-1,4.94,1.375,20.74,4.25,36.6,28.58571428571429,36.6
380,47.49,57.71,12.92,12.92,0.66,58.09,-3.7,-7.77,294.4,89.02,97840.8,"107.96,22.11",2013-10-1,12.92,16.15,53.855000000000004,16.5,29.045,65.6125,65.6125
390,41.99,48.25,12.3,7.81,0.73,66.14,-5.62,-6.21,299.14,74.28,100284.36,"109.41,22.07",2013-10-1,12.3,9.7625,48.25,18.25,33.07,58.737500000000004,58.737500000000004
400,34.6,43.62,12.56,8.66,0.52,59.12,-5.98,-3.47,300.82,69.06,100733.13,"110.85,22.0",2013-10-1,12.56,10.825,43.62,13.0,29.56,49.42857142857143,49.42857142857143
410,56.25,71.95,18.6,19.59,0.71,82.12,-6.01,-5.29,299.4,78.87,100330.79,"112.29,21.92",2013-10-1,18.6,24.4875,60.975,17.75,41.06,76.5625,76.5625
420,19.16,19.87,4.84,1.37,0.17,76.69,-5.91,-0.24,292.61,63.83,87047.15,"100.01,22.18",2013-10-1,4.84,1.7125000000000001,19.87,4.25,38.345,27.371428571428574,38.345
430,20.44,21.24,5.05,1.24,0.18,72.99,-5.5,-1.8,292.93,72.71,88814.82,"101.45,22.23",2013-10-1,5.05,1.55,21.24,4.5,36.495,29.200000000000003,36.495
440,48.51,60.01,12.15,16.97,0.73,52.66,-1.94,-6.84,294.8,88.12,98638.75,"108.11,22.24",2013-10-1,12.15,21.2125,55.004999999999995,18.25,26.33,66.88749999999999,66.88749999999999
450,42.83,49.17,12.65,7.63,0.65,67.98,-6.34,-6.29,298.53,75.92,99413.31,"109.56,22.19",2013-10-1,12.65,9.5375,49.17,16.25,33.99,59.787499999999994,59.787499999999994
460,37.37,46.1,12.93,8.02,0.49,62.09,-8.85,-4.11,299.47,72.09,98800.18,"111.0,22.13",2013-10-1,12.93,10.024999999999999,46.1,12.25,31.045,52.9625,52.9625
